Odcinki pilotażowe (wiosna 1999)[edytuj | edytuj kod];;;;;
;;;;;
Nr;Tytuł;Opis odcinka;Data premiery[1];Reżyseria;Scenariusz
114;Jedenastka pana Ferdynanda;Ferdek odkrywa, że w ich mieszkaniu zamieszkał Ufoludek. Zaprzyjaźniają się.;06.09.2002;Okił Khamidow;Robert Lewandowski
;;;;;Tobiasz Lewandowski (pomysł)[3]
115;Rekord man;Ferdek chce zostać prezenterem nowego talk-show.;08.09.2002;Okił Khamidow;Aleksander Sobiszewski
116;Nasza klasa;Kiepski organizuje spotkanie z dawnymi kolegami z klasy.;09.09.2002;Okił Khamidow;Aleksander Sobiszewski
;;;;;Katarzyna Lewandowska
117;Akademia umiejętności;Rodzina Kiepskich chce pokazać w telewizji swoje umiejętności.;11.09.2002;Okił Khamidow;Aleksander Sobiszewski
;;;;;Katarzyna Lewandowska
118;Interes;Do Kiepskich przyjeżdża daleka rodzina ze wsi. Wizyta się przedłuża, Ferdek obawia się, że zostaną na stałe.;13.09.2002;Okił Khamidow;Aleksander Sobiszewski
;;;;;Katarzyna Lewandowska
119;Marcysia maus;W domu Kiepskich pojawia się mysz. Zaczyna się polowanie.;15.09.2002;Okił Khamidow;Robert Lewandowski
120;Grunt to prund;Ferdek jest zaniepokojony rosnącymi cenami prądu. Dowiaduje się, że kobieta podczas pracy wytwarza wystarczająca ilość prądu, aby zasilić całe mieszkanie. Postanawia to wykorzystać w stosunku do Haliny.;22.09.2002;Okił Khamidow;Patrick Yoka
121;Towariszcz komandir;Ferdka pytają wszyscy o dzwonek. Szukając go, odkrywa na korytarzu czerwony przycisk. Okazuje się, że jego naciśnięcie uruchamia ukrytą od dawna radziecką głowicę nuklearną.;29.09.2002;Okił Khamidow;Robert Lewandowski
;;;;;Patrick Yoka
122;Romantica;Ferdek i Paździoch stają się ofiarami własnych żon. Chcą się upodobnić do mężczyzn z romansów.;06.10.2002;Okił Khamidow;Aleksander Sobiszewski
;;;;;Katarzyna Lewandowska
123;Paździerzyca;W Polsce grasuje Paździerzyca. Ferdek podejrzewa, że przyczyną epidemii jest Paździoch.;13.10.2002;Okił Khamidow;Aleksander Sobiszewski
;;;;;Katarzyna Lewandowska
124;Krwawy sport;Ferdek i Waldek wpadają w nałóg gry hazardowej.;20.10.2002;Okił Khamidow;Aleksander Sobiszewski
125;Genetix;Ferdek odnosi uszczerbek na zdrowiu po wizycie w zdezynfekowanej przez Paździocha prywatnej publicznej toalecie.;27.10.2002;Okił Khamidow;Janusz Sadza
;;;;;Paweł Czuma
126;Pic na wodę;Ferdek i syn dowiadują się o funduszu młodych wynalazców. Postanawiają zarobić.;03.11.2002;Okił Khamidow;Patrick Yoka
127;Uśmiech losu;Kiepscy dostali milion dolarów w spadku po nieznanym im mężczyźnie. Nie wiedzą, co zrobić z taką kwotą.;10.11.2002;Okił Khamidow;Patrick Yoka
128;Waldek tour;Po obejrzeniu odcinka Koziołka Matołka, Waldek postanawia wyjechać. Rodzina i sąsiedzi urządzają mu przyjęcie pożegnalne.;17.11.2002;Okił Khamidow;Aleksander Sobiszewski
129;Ostatni cham;Ferdek, Walduś, Paździoch i Boczek zostają oskarżeni o brak kultury.;24.11.2002;Okił Khamidow;Aleksander Sobiszewski
;;;;;Katarzyna Lewandowska
130;Ta okropna niedziela;Niedziela. Ferdek z synem i sąsiadami nie potrafią się zdecydować, co zrobić.;01.12.2002;Okił Khamidow;Aleksander Sobiszewski
;;;;;Katarzyna Lewandowska
131;Wata Mariana;Do Polski przyjeżdża amerykańska aktorka polskiego pochodzenia. Paździoch twierdzi, że zna ją osobiście.;08.12.2002;Okił Khamidow;Patrick Yoka
132;Kocham kino;Ferdek, Walduś i sąsiedzi są zaniepokojeni kondycją polskiego kina. Postanawiają nakręcić film, jakiego jeszcze nie było.;15.12.2002;Okił Khamidow;Aleksander Sobiszewski
;;;;;Katarzyna Lewandowska
133;Lolek;Trwa Boże Narodzenie. Kiepskich odwiedzają bezdomni.;26.12.2002;Okił Khamidow;Aleksander Sobiszewski
;;;;;Katarzyna Sobiszewska
;;;;;Robert Lewandowski
;;;;;
Sezon 5 (wiosna 2003)[edytuj | edytuj kod];;;;;
;;;;;
Nr;Tytuł;Opis odcinka;Data premiery;Reżyseria;Scenariusz
134;Dzień, w którym zapchał się kibel;W kamienicy zapycha się toaleta. Sąsiedzi wzywają różnych fachowców, lecz żaden nie potrafi pomóc. Ferdek postanawia samemu poradzić sobie z problemem.;01.03.2003;Okił Khamidow;Aleksander Sobiszewski
;;;;;Katarzyna Lewandowska
135;Szara strefa;Ferdek uświadamia sobie, że nigdy nie był w mieszkaniu Paździochów. Decyduje się zobaczyć, jak żyją sąsiedzi.;03.03.2003;Okił Khamidow;Aleksander Sobiszewski
;;;;;Katarzyna Lewandowska
